file_path,token_count,word_count,character_count,estimated_pages,directory,filename
plan_comptable\chapitres_word\partie_2\chapitre_35.docx,679,296,1872,1.0,plan_comptable\chapitres_word\partie_2,chapitre_35.docx
plan_comptable\chapitres_word\partie_2\chapitre_26.docx,622,313,1860,1.0,plan_comptable\chapitres_word\partie_2,chapitre_26.docx
plan_comptable\chapitres_word\partie_2\chapitre_29.docx,609,273,1482,0.9,plan_comptable\chapitres_word\partie_2,chapitre_29.docx
plan_comptable\chapitres_word\partie_2\chapitre_31.docx,564,322,1925,1.1,plan_comptable\chapitres_word\partie_2,chapitre_31.docx
plan_comptable\chapitres_word\partie_2\chapitre_15.docx,557,257,1730,0.9,plan_comptable\chapitres_word\partie_2,chapitre_15.docx
plan_comptable\chapitres_word\partie_2\chapitre_27.docx,495,260,1717,0.9,plan_comptable\chapitres_word\partie_2,chapitre_27.docx
plan_comptable\chapitres_word\partie_2\chapitre_3.docx,479,240,1670,0.8,plan_comptable\chapitres_word\partie_2,chapitre_3.docx
plan_comptable\chapitres_word\partie_2\chapitre_37.docx,455,188,1261,0.6,plan_comptable\chapitres_word\partie_2,chapitre_37.docx
plan_comptable\chapitres_word\partie_2\chapitre_4.docx,454,200,1305,0.7,plan_comptable\chapitres_word\partie_2,chapitre_4.docx
plan_comptable\chapitres_word\partie_2\chapitre_30.docx,437,227,1548,0.8,plan_comptable\chapitres_word\partie_2,chapitre_30.docx
plan_comptable\chapitres_word\partie_2\chapitre_39.docx,403,226,1434,0.8,plan_comptable\chapitres_word\partie_2,chapitre_39.docx
plan_comptable\chapitres_word\partie_2\chapitre_24.docx,309,159,894,0.5,plan_comptable\chapitres_word\partie_2,chapitre_24.docx
plan_comptable\chapitres_word\partie_2\chapitre_5.docx,242,130,723,0.4,plan_comptable\chapitres_word\partie_2,chapitre_5.docx
plan_comptable\chapitres_word\partie_2\chapitre_10.docx,232,131,828,0.4,plan_comptable\chapitres_word\partie_2,chapitre_10.docx
plan_comptable\chapitres_word\partie_2\chapitre_1.docx,229,115,677,0.4,plan_comptable\chapitres_word\partie_2,chapitre_1.docx
plan_comptable\chapitres_word\partie_2\chapitre_7.docx,216,119,584,0.4,plan_comptable\chapitres_word\partie_2,chapitre_7.docx
plan_comptable\chapitres_word\partie_2\chapitre_19.docx,171,75,573,0.2,plan_comptable\chapitres_word\partie_2,chapitre_19.docx
plan_comptable\chapitres_word\partie_4\chapitre_7.docx,7,3,23,0.0,plan_comptable\chapitres_word\partie_4,chapitre_7.docx
